stk_cd,per,roe,pbr,ev,bps,sale_amt,bus_pro,cup_nga,cap
000020,31.98,1.5,0.47,7.04,13427,4649,134,21,279
000040,,-42.8,0.74,,543,160,-49,-142,301
000050,8.34,3.2,0.25,5.53,28806,3973,334,236,137
000070,19.92,1.4,0.27,4.34,238712,35533,1275,895,434
000080,14.21,8.6,1.13,5.86,16889,25992,2081,957,3632
000100,119.75,3.4,3.65,70.51,28505,20678,549,552,802
000120,7.35,6.6,0.43,4.17,185424,121168,5307,2683,1141
000140,4.56,8.1,0.30,4.32,28155,25851,2218,908,1160
000150,,-14.6,5.65,6.89,77764,181329,10038,3022,993
000180,,-0.6,0.17,1191.87,8292,1431,-73,-36,360
000210,10.55,2.3,0.23,6.68,181531,56154,4125,948,1283
000220,10.48,7.4,0.70,4.05,6676,1331,117,103,176
000230,1.20,72.9,0.56,9.22,11666,6576,-24,556,115
000240,4.45,8.3,0.35,3.66,46939,13910,4183,3507,475
000250,,-4.5,12.89,286.32,11368,2109,26,-51,117
000270,3.57,19.1,0.62,1.06,141271,1074488,126671,97750,21393
000300,0.27,-270.5,3.45,,575,324,-73,1162,407
000320,4.22,11.5,0.45,1.19,35364,12479,726,821,84
000370,1.95,11.3,0.23,,18560,53451,4357,3160,5837
000390,10.27,4.9,0.46,7.17,12734,6283,190,155,136
000400,20.24,2.3,0.62,,2563,19904,311,242,3103
000430,9.48,4.6,0.43,5.98,8359,13676,226,319,310
000440,,-1.7,1.29,,10249,498,-17,-9,31
000480,,-0.4,0.39,12.97,13180,8108,174,25,234
000490,,-6.9,0.64,15.22,16723,14156,185,-451,257
000500,25.09,6.5,1.77,26.42,46022,17271,450,254,827
000520,,-3.7,1.42,53.57,8235,2197,1,-56,108
000540,2.32,10.0,0.32,,11857,25498,1488,1067,3212
000590,2.81,10.4,0.27,-4.17,279351,1420,223,379,58
000640,11.59,5.6,0.64,7.50,161863,13332,821,576,327
000650,,-25.3,3.98,,9908,447,-53,-42,71
000660,7.36,31.1,1.91,4.35,104567,661930,234673,197969,36577
000670,,-6.8,0.19,,188730,27874,-1607,-3278,96
000680,,-7.9,0.51,14.11,6928,19338,256,-319,3940
000700,9.02,4.9,0.44,-1.16,13098,4359,183,316,651
000720,,-2.1,0.76,,71394,326703,-12634,-7662,5568
000760,,-0.5,0.23,16.53,48504,495,8,-3,140
000810,9.27,13.1,1.13,,337189,174130,26496,20768,248
000850,7.63,2.5,0.20,2.91,153304,2222,-7,87,110
000860,11.88,2.2,0.25,3.42,47623,6431,205,181,65
000880,6.39,7.2,0.44,0.34,114712,556468,24161,16904,3748
000890,10.47,8.0,0.80,8.97,626,876,23,67,696
000910,,-39.5,0.86,,5326,2182,-115,-689,78
000950,4.54,4.6,0.19,,130241,572,-85,89,84
000970,11.58,3.9,0.44,1.91,15587,4194,154,143,120
000990,7.40,12.4,0.81,2.70,46967,11312,1908,2294,2220
001000,,-2.1,2.91,109.92,593,37,4,-3,24
001020,,-3.4,0.45,12.38,1595,2902,20,-97,890
001040,44.12,1.8,0.79,2.89,157224,436467,25475,1512,1466
001060,8.44,21.9,1.60,5.46,13717,7194,825,650,582
001070,30.40,0.9,0.20,8.63,31547,1339,24,11,53
001080,,-22.1,0.60,,45278,1799,-308,-444,42
001120,6.02,7.1,0.39,3.08,69684,166376,4892,2695,1938
001130,4.65,4.8,0.22,1.64,615130,13747,723,488,85
001140,,-137.4,3.40,,620,406,-78,-272,79
001200,5.92,4.8,0.28,,10965,3092,583,496,5376
001210,,-56.6,1.16,,896,532,-50,-138,308
001230,20.96,0.7,0.15,1.64,51522,19994,580,197,2711
001250,3.86,11.4,0.39,5.13,6455,40665,779,561,2063
001260,13.58,5.3,0.70,7.74,12189,5042,73,62,492
001270,15.27,4.1,0.57,,61982,1306,367,310,518
001290,,-22.8,0.28,,1703,279,-497,-473,1096
001340,68.11,1.7,1.15,13.24,4767,2452,97,36,225
001360,,-15.4,1.36,,1126,443,-148,-141,471
001380,12.32,4.3,0.52,7.65,3331,994,62,63,225
001390,4.20,6.6,0.27,2.38,13897,88631,3188,2285,711
001420,1.80,47.1,0.68,,6062,116,-9,175,38
001430,34.26,1.0,0.36,8.51,54089,36361,523,203,2193
001440,31.00,5.9,1.57,14.90,7910,32913,1152,742,1864
001450,2.46,15.8,0.43,,53815,137457,12441,8505,447
001460,15.22,3.4,0.51,4.29,65529,1652,238,184,31
001470,,-219.2,7.01,,50,4624,-1126,-1278,2297
001500,7.57,2.8,0.21,,31591,2634,547,362,3092
001510,,-13.9,0.42,,1241,1483,-1079,-833,2363
001520,,-9.9,0.16,30.52,3534,7504,-9,-742,1193
001530,603.03,0.3,1.43,35.27,25853,6517,78,25,137
001540,5.74,10.6,0.57,10.03,13082,2711,67,163,65
001550,97.51,1.2,1.18,15.37,10146,1024,48,6,260
001560,16.12,6.2,0.79,7.88,12271,820,58,60,50
001570,,-40.9,1.29,,7659,1537,-560,-1861,320
001620,2.10,12.3,0.24,5.73,1991,6684,-63,257,556
001630,7.53,5.8,0.42,8.51,120513,9578,355,403,125
001680,8.04,6.9,0.54,4.66,39464,42551,1769,967,346
001720,12.73,9.3,1.01,,109160,3582,1704,1494,822
001740,18.44,2.3,0.40,2.96,9930,76573,1139,463,6205
001750,5.04,7.7,0.38,,38834,1796,544,388,636
001770,6.56,5.6,0.36,,44133,1066,-40,29,61
001780,12.50,6.2,0.73,6.16,3219,6229,381,177,484
001790,12.84,3.7,0.47,7.64,5865,13738,370,205,448
001800,7.08,7.0,0.48,0.21,38030,31952,5062,4795,313
001810,10.56,1.7,0.17,27.93,9075,1769,7,33,111
001820,11.43,8.6,0.94,4.47,25647,2954,178,220,104
001840,,-127.4,2.14,,756,1100,-414,-431,111
001940,10.71,2.8,0.25,-32.63,84443,10132,-36,453,185
002020,1.94,12.5,0.20,282.63,120681,60284,-896,1576,631
002030,9.68,5.6,0.50,3.34,564755,20074,1724,1084,110
002070,,-1.2,0.32,12.63,2922,2352,17,-38,156
002100,10.59,7.0,0.72,7.02,13017,3252,267,177,108
002140,17.00,3.7,0.63,9.83,4375,3077,143,39,249
002150,,-2.0,0.85,,7665,5828,-134,-63,169
002170,13.26,2.5,0.32,-2.58,150448,1913,200,110,150
002200,33.64,1.2,0.38,6.08,7531,3018,-6,34,200
002210,,-15.3,1.11,,2494,884,-66,-73,266
002220,,-3.1,0.31,23.06,6294,2058,7,-46,133
002230,13.82,4.4,0.55,5.27,7245,806,34,56,98
002240,13.73,2.0,0.26,4.09,66003,17396,261,329,270
002290,7.22,8.7,0.61,-1.31,5558,1127,57,58,62
002310,13.16,2.8,0.35,2.55,20103,8911,266,239,448
002320,,-0.3,0.21,7.62,94495,30155,1001,-4,747
002350,5.06,7.1,0.34,4.88,17905,28479,1721,1267,508
002360,,-12.3,0.60,,740,1260,-97,-104,556
002380,7.78,6.1,0.45,7.35,601382,66588,4711,2933,481
002390,,-16.8,0.55,19.58,20871,5074,5,-527,69
002410,,-114.8,2.84,,682,1014,-382,-463,275
002420,,-11.0,1.15,,4375,320,-20,-28,30
002450,35.21,1.2,0.37,7.57,3285,2304,59,31,453
002460,8.42,3.2,0.25,5.69,39296,6128,237,135,623
002600,36.87,1.7,0.63,7.97,245918,4282,208,25,30
002620,,-16.3,0.41,81.73,19431,7798,-116,-664,80
002630,12.46,16.5,1.88,57.20,718,280,-6,129,593
002680,,-11.4,0.52,19.69,1469,849,37,-54,162
002690,,-0.3,0.20,,7693,1511,-58,-5,102
002700,74.44,1.8,1.27,16.55,1180,1783,40,14,355
002710,21.14,8.3,1.67,29.08,9726,5821,123,202,262
002720,19.45,6.0,1.10,12.20,4338,1565,67,52,212
002760,,-3.2,1.38,,779,476,-18,-15,120
002780,50.94,0.8,0.41,,1830,7262,-47,22,727
002790,9.48,7.6,0.68,1.74,36717,42599,2493,6529,412
002800,19.02,7.6,1.41,12.38,4342,1064,69,48,76
002810,4.82,10.7,0.48,0.46,30842,4802,184,626,92
002820,,-6.9,0.16,,17870,3393,-59,-106,126
002840,17.02,13.0,2.05,8.78,88144,4358,599,505,67
002870,113.80,0.4,0.44,,2285,228,-44,3,175
002880,8.93,12.8,1.05,3.37,946,5649,375,48,234
002900,13.48,4.6,0.58,12.12,9396,7888,161,182,1126
002920,,-3.8,0.18,-3.40,11122,3246,-5,-68,130
002960,13.81,28.9,3.98,8.86,97904,3272,460,367,70
002990,,-64.5,0.44,,6436,19142,-1818,-2285,1850
003000,,-1.1,1.15,40.30,3560,1601,16,-35,364
003010,8.72,6.2,0.49,6.35,10108,2488,142,73,64
003030,21.66,2.3,0.46,7.47,483418,36751,2116,1170,207
003060,,-28.1,0.33,,1930,674,-528,-1050,992
003070,7.22,4.2,0.29,,30710,29120,-567,225,947
003080,,-2.7,0.40,276.22,6373,598,-29,-36,100
003090,19.89,6.0,1.07,4.61,18447,19369,2819,689,291
003100,4.34,7.5,0.31,3.77,60561,1868,364,283,66
003120,18.99,3.4,0.51,,36859,690,-95,131,133
003160,365.80,0.7,2.50,50.52,5657,2140,31,28,172
003200,7.77,3.2,0.24,4.61,38874,5237,91,290,120
003220,21.48,5.3,1.05,9.31,12946,5982,282,90,112
003230,31.66,39.4,10.45,22.10,109340,17280,3446,2713,377
003240,4.39,5.5,0.22,-25.51,3784691,21219,-272,2184,56
003280,9.37,20.1,1.62,9.59,951,1880,275,400,1202
003300,4.03,7.6,0.29,2.45,52884,22487,2793,1985,334
